Date,NFLX_AdjClose,GLD_NAV,NFLX_logret,GLD_logret
2004-11-19,1.607143,44.559512,-0.05784936020526876,0.008100854949375513
2004-11-22,1.615714,44.778038,0.005318895754039876,0.004892151974941417
2004-11-23,1.564286,44.812551,-0.032347474382458885,0.0007704604265361681
2004-11-24,1.622857,44.857059,0.036758686353937364,0.0009927109899354747
2004-11-26,1.621429,45.096065,-0.0008803170202750232,0.00531402472331699
2004-11-29,1.631429,45.119582,0.006148458680295066,0.0005213508147354773
2004-11-30,1.625714,45.334079,-0.0035092139736073724,0.004742702499584972
2004-12-01,1.607143,45.278584,-0.011489035411931026,-0.0012248841409383537
2004-12-02,1.621429,45.413075,0.008849790705243332,0.002965897858105304
2004-12-03,1.614286,44.857633,-0.004415105535127639,-0.012306295634409548
2004-12-06,1.6,45.296114,-0.0088891244083808,0.009727481600064536
2004-12-07,1.667143,45.17063,0.04110775368721492,-0.0027741482654888294
2004-12-08,1.615714,43.680255,-0.03133441869490994,-0.033550927547714604
2004-12-09,1.675714,43.699775,0.03646237886903181,0.00044678401517384003
2004-12-10,1.677143,43.389323,0.0008524074164366624,-0.0071295563317614885
2004-12-13,1.825714,43.497887,0.08487939287603141,0.002498965187095692
2004-12-14,1.8,43.697393,-0.014184478497421438,0.004576081369232821
2004-12-15,1.831429,43.886898,0.01730987154442465,0.00432738093926055
2004-12-16,1.908571,43.936413,0.041258258055719255,0.001127605067098969
2004-12-17,1.854286,43.875936,-0.028855078198439243,-0.001377414685986178
2004-12-20,1.814286,44.229466,-0.02180771441428886,0.008025203662094249
2004-12-21,1.8,44.078993,-0.0079053369874158,-0.003407898797779474
2004-12-22,1.671429,44.083509,-0.07410771574349839,0.0001024471833601659
2004-12-23,1.647143,44.093025,-0.014636677202701176,0.0002158397388796196
2004-12-27,1.657143,44.201079,0.006052763307979048,0.002447593872030307
2004-12-28,1.728571,44.200595,0.0422000203495686,-1.0950018887623258e-05
2004-12-29,1.804286,44.330099,0.04286989004673425,0.0029256314735803812
2004-12-30,1.811429,43.539684,0.003951090886597064,-0.017991083919099093
2005-01-03,1.702857,43.777743,-0.06180860785752895,0.005452739459165468
2005-01-04,1.665714,42.752423,-0.02205356834883787,-0.02369966540597046
2005-01-05,1.6,42.577016,-0.040250231094696,-0.004111294979253444
2005-01-06,1.578571,42.411606,-0.013483621830536696,-0.0038925259631650277
2005-01-07,1.588571,42.196217,0.006314862567715018,-0.005091478722876186
2005-01-10,1.61,41.974911,0.01339930901345776,-0.005258489822241419
2005-01-11,1.572857,42.109401,-0.02334046814362195,0.003198934771289519
2005-01-12,1.535714,42.63373,-0.0238982913809202,0.012374706594328266
2005-01-13,1.551429,42.333384,0.010181022221702252,-0.007069729377107148
2005-01-14,1.618571,42.222965,0.042367219507274845,-0.0026117273054233614
2005-01-18,1.614286,42.146145,-0.0026509075466902288,-0.0018210461442409454
2005-01-19,1.581429,42.465553,-0.020563884986210923,0.007550008445794454
