Date,NFLX_AdjClose,GLD_NAV
2004-11-18,1.702857,44.2
2004-11-19,1.607143,44.559512
2004-11-22,1.615714,44.778038
2004-11-23,1.564286,44.812551
2004-11-24,1.622857,44.857059
2004-11-26,1.621429,45.096065
2004-11-29,1.631429,45.119582
2004-11-30,1.625714,45.334079
2004-12-01,1.607143,45.278584
2004-12-02,1.621429,45.413075
2004-12-03,1.614286,44.857633
2004-12-06,1.6,45.296114
2004-12-07,1.667143,45.17063
2004-12-08,1.615714,43.680255
2004-12-09,1.675714,43.699775
2004-12-10,1.677143,43.389323
2004-12-13,1.825714,43.497887
2004-12-14,1.8,43.697393
2004-12-15,1.831429,43.886898
2004-12-16,1.908571,43.936413
2004-12-17,1.854286,43.875936
2004-12-20,1.814286,44.229466
2004-12-21,1.8,44.078993
2004-12-22,1.671429,44.083509
2004-12-23,1.647143,44.093025
2004-12-27,1.657143,44.201079
2004-12-28,1.728571,44.200595
2004-12-29,1.804286,44.330099
2004-12-30,1.811429,43.539684
2005-01-03,1.702857,43.777743
2005-01-04,1.665714,42.752423
2005-01-05,1.6,42.577016
2005-01-06,1.578571,42.411606
2005-01-07,1.588571,42.196217
2005-01-10,1.61,41.974911
2005-01-11,1.572857,42.109401
2005-01-12,1.535714,42.63373
2005-01-13,1.551429,42.333384
2005-01-14,1.618571,42.222965
2005-01-18,1.614286,42.146145
2005-01-19,1.581429,42.465553
2005-01-20,1.584286,42.260171
2005-01-21,1.577143,42.299692
2005-01-24,1.591429,42.703126
2005-01-25,1.618571,42.417778
2005-01-26,1.575714,42.547257
2005-01-27,1.601429,42.416846
2005-01-28,1.634286,42.646283
2005-01-31,1.642857,42.18008
2005-02-01,1.64,42.054681
2005-02-02,1.602857,42.124168
2005-02-03,1.7,41.614101
2005-02-04,1.717143,41.553691
2005-02-07,1.647143,41.402441
2005-02-08,1.642857,41.072243
2005-02-09,1.638571,41.076789
2005-02-10,1.618571,41.511001
2005-02-11,1.592857,41.845286
2005-02-14,1.594286,42.378494
2005-02-15,1.607143,42.398014
2005-02-16,1.564286,42.267651
2005-02-17,1.5,42.581943
2005-02-18,1.525714,42.66641
2005-02-22,1.458571,43.239093
2005-02-23,1.455714,43.213639
2005-02-24,1.485714,43.328075
2005-02-25,1.57,43.377561
2005-02-28,1.528571,43.496041
2005-03-01,1.541429,43.295721
2005-03-02,1.525714,43.12543
2005-03-03,1.508571,42.970123
2005-03-04,1.528571,43.294304
2005-03-07,1.512857,43.247929
2005-03-08,1.445714,43.671999
2005-03-09,1.43,43.896278
2005-03-10,1.412857,43.965722
2005-03-11,1.347143,44.314864
2005-03-14,1.357143,44.138595
2005-03-15,1.314286,44.008251
2005-03-16,1.31,44.242517
2005-03-17,1.314286,43.802504
2005-03-18,1.314286,43.65718
2005-03-21,1.33,43.211223
2005-03-22,1.307143,43.155808
2005-03-23,1.312857,42.665861
2005-03-24,1.29,42.455619
2005-03-28,1.397143,42.453758
2005-03-29,1.442857,42.548191
2005-03-30,1.464286,42.582687
2005-03-31,1.55,42.687108
2005-04-01,1.547143,42.651678
2005-04-04,1.565714,42.325692
2005-04-05,1.545714,42.395128
2005-04-06,1.585714,42.509499
2005-04-07,1.605714,42.733711
2005-04-08,1.715714,42.453644
2005-04-11,1.698571,42.831702
2005-04-12,1.667143,42.661477
2005-04-13,1.73,42.680981
2005-04-14,1.711429,42.276097
2005-04-15,1.67,42.390468
2005-04-18,1.618571,42.503909
2005-04-19,1.66,42.673198
2005-04-20,1.635714,43.246901
2005-04-21,1.735714,43.326311
2005-04-22,1.6,43.38575
2005-04-25,1.642857,43.214569
2005-04-26,1.614286,43.623504
2005-04-27,1.642857,43.358409
2005-04-28,1.644286,43.173201
2005-04-29,1.65,43.492265
2005-05-02,1.652857,43.490835
2005-05-03,1.648571,42.711485
2005-05-04,1.657143,42.800861
2005-05-05,1.634286,42.835331
2005-05-06,1.652857,42.435558
2005-05-09,1.658571,42.469102
2005-05-10,1.654286,42.658306
2005-05-11,1.85,42.528065
2005-05-12,1.975714,42.342921
2005-05-13,2.04,41.918197
2005-05-16,2.121429,41.84195
2005-05-17,2.068571,41.916361
2005-05-18,2.214286,41.890945
2005-05-19,2.304286,41.995303
2005-05-20,2.275714,41.71533
2005-05-23,2.221429,41.713959
2005-05-24,2.062857,41.74345
2005-05-25,2.077143,41.752975
2005-05-26,2.091429,41.712587
2005-05-27,2.078571,41.737086
2005-05-31,2.041429,41.355918
2005-06-01,2.071429,41.445308
2005-06-02,2.125714,41.948813
2005-06-03,2.095714,42.262703
2005-06-06,2.174286,42.490839
2005-06-07,2.142857,42.315735
2005-06-08,2.122857,42.360178
2005-06-09,2.235714,42.155137
2005-06-10,2.415714,42.159665
2005-06-13,2.38,42.811927
2005-06-14,2.428571,42.586922
2005-06-15,2.45,42.771074
2005-06-16,2.518571,43.199718
2005-06-17,2.46,43.648316
2005-06-20,2.455714,43.831499
2005-06-21,2.38,43.416875
2005-06-22,2.36,43.596028
2005-06-23,2.292857,43.810107
2005-06-24,2.252857,43.949338
